,TweetId
0,1039578809622781953
1,1039578433033052160
2,1039578138039209985
3,1039577795763085312
4,1039577726921916416
5,1039577557396594688
6,1039577514362851328
7,1039577477306376192
8,1039577438983016449
9,1039577421618577408
10,1039577365654003717
11,1039577320883974145
12,1039576953609703424
13,1039576716254085120
14,1039576707613814784
15,1039576700047290368
16,1039576196768509952
17,1039575931516538880
18,1039575847009583104
19,1039575437041524736
20,1039575412853100546
21,1039575410122612736
22,1039575407941566464
23,1039575310688288771
24,1039574528978866176
25,1039574438281441280
26,1039574338834448384
27,1039574189684871168
28,1039573977520386048
29,1039573814701518850
30,1039573799161737222
31,1039573616600510464
32,1039573479404851200
33,1039572988889391104
34,1039572891434721280
35,1039572708764340225
36,1039572588576616448
37,1039559844053712896
38,1039550117919875072
39,1039528053347700736
40,1039525362714079233
41,1039523021537439746
42,1039520777060659201
43,1039519793139740672
44,1039518697214410752
45,1039505373345067009
46,1039501971382775808
47,1039486845527183362
48,1039486444232998912
49,1039478784121036800
50,1039474282693320704
51,1039415442572496896
52,1039403542191267840
53,1039399058018684928
54,1039395267504689152
55,1039393099988889603
56,1039384559731843072
57,1039372085506793472
58,1039366081377447937
59,1039345796758421507
60,1039332377141633025
61,1039235943146905605
62,1039234462230487040
63,1039227639968485376
64,1039196810940690433
65,1039194362780049408
66,1039175682834804742
67,1039168081887719424
68,1039165940393488390
69,1039162731000225793
70,1039155990657224705
71,1039118676979535879
72,1039112938605424646
73,1039090539411525633
74,1039089677842563073
75,1039075469130379269
76,1039073640149643270
77,1039071945734725634
78,1039047045389008896
79,1039036460563881984
80,1039035378064183296
81,1039034106628251648
82,1039018365166280704
83,1039008979182075904
84,1039008155945132032
85,1039005894355238913
86,1038999527016071173
87,1038995810132930563
88,1038995033205211136
89,1038994709593698309
90,1038992902200774657
91,1038988017665499136
92,1038987103529459712
93,1038985678938288128
94,1038982944008761344
95,1038981881419759616
96,1038978364420194304
97,1038967520852471808
98,1038951085677916160
99,1038887148924166146
100,1038885823049916416
101,1038848801346338816
102,1038844344151826432
103,1038843867930472449
104,1038835956722237441
105,1038835906323435520
106,1038835588496064512
107,1038835567230898178
108,1038835273889669120
109,1038835034902474753
110,1038834832439226368
111,1038834620408709121
